"Measure","Year","Observed","annual_change"
"Total fertility rate",1961,5.41,-0.35
"Total fertility rate",1962,5.21,-0.2
"Total fertility rate",1963,5.16,-0.0499999999999998
"Total fertility rate",1964,4.97,-0.19
"Total fertility rate",1965,4.66,-0.31
"Total fertility rate",1966,4.46,-0.2
"Total fertility rate",1967,3.91,-0.55
"Total fertility rate",1968,3.53,-0.38
"Total fertility rate",1969,3.22,-0.31
"Total fertility rate",1970,3.07,-0.15
"Total fertility rate",1971,3.02,-0.0499999999999998
"Total fertility rate",1972,3.04,0.02
"Total fertility rate",1973,2.79,-0.25
"Total fertility rate",1974,2.35,-0.44
"Total fertility rate",1975,2.07,-0.28
"Total fertility rate",1976,2.11,0.04
"Total fertility rate",1977,1.82,-0.29
"Total fertility rate",1978,1.79,-0.03
"Total fertility rate",1979,1.79,0
"Total fertility rate",1980,1.82,0.03
"Total fertility rate",1981,1.78,-0.04
"Total fertility rate",1982,1.74,-0.04
"Total fertility rate",1983,1.61,-0.13
"Total fertility rate",1984,1.62,0.01
"Total fertility rate",1985,1.61,-0.01
"Total fertility rate",1986,1.43,-0.18
"Total fertility rate",1987,1.62,0.19
"Total fertility rate",1988,1.96,0.34
"Total fertility rate",1989,1.75,-0.21
"Total fertility rate",1990,1.83,0.0800000000000001
"Total fertility rate",1991,1.73,-0.1
"Total fertility rate",1992,1.72,-0.01
"Total fertility rate",1993,1.74,0.02
"Total fertility rate",1994,1.71,-0.03
"Total fertility rate",1995,1.67,-0.04
"Total fertility rate",1996,1.66,-0.01
"Total fertility rate",1997,1.61,-0.0499999999999998
"Total fertility rate",1998,1.48,-0.13
"Total fertility rate",1999,1.47,-0.01
"Total fertility rate",2000,1.6,0.13
"Total fertility rate",2001,1.41,-0.19
"Total fertility rate",2002,1.37,-0.0399999999999998
"Total fertility rate",2003,1.27,-0.1
"Total fertility rate",2004,1.26,-0.01
"Total fertility rate",2005,1.26,0
"Total fertility rate",2006,1.28,0.02
"Total fertility rate",2007,1.29,0.01
"Total fertility rate",2008,1.28,-0.01
"Total fertility rate",2009,1.22,-0.0600000000000001
"Total fertility rate",2010,1.15,-0.0700000000000001
"Total fertility rate",2011,1.2,0.05
"Total fertility rate",2012,1.29,0.0900000000000001
"Total fertility rate",2013,1.19,-0.1
"Total fertility rate",2014,1.25,0.0600000000000001
"Total fertility rate",2015,1.24,-0.01
"Total fertility rate",2016,1.2,-0.04
"Total fertility rate",2017,1.16,-0.04
"Total fertility rate",2018,1.14,-0.02
"Total fertility rate",2019,1.14,0
"Total fertility rate",2020,1.1,-0.0399999999999998
"Total fertility rate",2021,1.12,0.02
"Total fertility rate",2022,1.04,-0.0800000000000001
"Total fertility rate",2023,0.97,-0.0700000000000001
"Total fertility rate",2024,0.97,0
"Total fertility rate",2025,0.87,-0.1
"Total live births",1961,59930,-1845
"Total live births",1962,58977,-953
"Total live births",1963,59530,553
"Total live births",1964,58217,-1313
"Total live births",1965,55725,-2492
"Total live births",1966,54680,-1045
"Total live births",1967,50560,-4120
"Total live births",1968,47241,-3319
"Total live births",1969,44562,-2679
"Total live births",1970,45934,1372
"Total live births",1971,47088,1154
"Total live births",1972,49678,2590
"Total live births",1973,48269,-1409
"Total live births",1974,43268,-5001
"Total live births",1975,39948,-3320
"Total live births",1976,42783,2835
"Total live births",1977,38364,-4419
"Total live births",1978,39441,1077
"Total live births",1979,40779,1338
"Total live births",1980,41217,438
"Total live births",1981,42250,1033
"Total live births",1982,42654,404
"Total live births",1983,40585,-2069
"Total live births",1984,41556,971
"Total live births",1985,42484,928
"Total live births",1986,38379,-4105
"Total live births",1987,43616,5237
"Total live births",1988,52957,9341
"Total live births",1989,47669,-5288
"Total live births",1990,51142,3473
"Total live births",1991,49114,-2028
"Total live births",1992,49402,288
"Total live births",1993,50225,823
"Total live births",1994,49554,-671
"Total live births",1995,48635,-919
"Total live births",1996,48577,-58
"Total live births",1997,47333,-1244
"Total live births",1998,43664,-3669
"Total live births",1999,43336,-328
"Total live births",2000,46997,3661
"Total live births",2001,41451,-5546
"Total live births",2002,40760,-691
"Total live births",2003,37485,-3275
"Total live births",2004,37174,-311
"Total live births",2005,37492,318
"Total live births",2006,38317,825
"Total live births",2007,39490,1173
"Total live births",2008,39826,336
"Total live births",2009,39570,-256
"Total live births",2010,37967,-1603
"Total live births",2011,39654,1687
"Total live births",2012,42663,3009
"Total live births",2013,39720,-2943
"Total live births",2014,42232,2512
"Total live births",2015,42185,-47
"Total live births",2016,41251,-934
"Total live births",2017,39615,-1636
"Total live births",2018,39039,-576
"Total live births",2019,39279,240
"Total live births",2020,38590,-689
"Total live births",2021,38672,82
"Total live births",2022,35605,-3067
"Total live births",2023,33541,-2064
"Total live births",2024,33703,162
"Total live births",2025,30004,-3699
