"Measure",".model","sigma2","r_squared","adj_r_squared","statistic","p_value","df","log_lik","AIC","AICc","BIC","CV","deviance","df.residual","rank","ar_roots","ma_roots","MSE","AMSE","MAE"
"Total fertility rate","naive",0.0248470033670034,,,,,,,,,,,,,," NULL"," NULL",,,
"Total fertility rate","drift",0.0248470033670033,,,,,,,,,,,,,," NULL"," NULL",,,
"Total fertility rate","linear_trend",0.497851958937748,0.693396635020372,0.687718794928157,122.123311639414,1.7678769681609e-15,2,-58.9135933365784,-35.0939290457665,-34.6323905842281,-29.0178739735611,0.526786058130155,26.8840057826384,54,2," NULL"," NULL",,,
"Total fertility rate","auto_arima",0.0196211572362841,,,,,,29.5158463006271,-55.0316926012542,-54.7963984836071,-51.0537245081256,,,,," cplx(0) "," cplx 1.25+0i",,,
"Total fertility rate","ets",0.0043789046669314,,,,,,3.86073408371225,4.27853183257551,5.99281754686122,16.4306419769864,,,,," NULL"," NULL",0.0168104674200598,0.039631593962698,0.0459385273016004
"Total live births","naive",7553328.96632997,,,,,,,,,,,,,," NULL"," NULL",,,
"Total live births","drift",7553328.96632997,,,,,,,,,,,,,," NULL"," NULL",,,
"Total live births","linear_trend",25541891.4684268,0.397751997387186,0.38659925659806,35.664058271218,1.891469379956e-07,2,-556.005516839535,959.089917960146,959.551456421685,965.165973032352,26485934.8037506,1379262139.29505,54,2," NULL"," NULL",,,
"Total live births","auto_arima",7542930.58448797,,,,,,-513.5347031075,1029.069406215,1029.14487791311,1031.07673940023,,,,," cplx(0) "," cplx(0) ",,,
"Total live births","ets",7591922.15593299,,,,,,-555.284223545803,1116.56844709161,1117.02998555315,1122.64450216381,,,,," NULL"," NULL",7320782.07893538,13300990.2119172,2039.54615106711
