"Measure","Year","Observed"
"Total fertility rate",1960,5.76
"Total fertility rate",1961,5.41
"Total fertility rate",1962,5.21
"Total fertility rate",1963,5.16
"Total fertility rate",1964,4.97
"Total fertility rate",1965,4.66
"Total fertility rate",1966,4.46
"Total fertility rate",1967,3.91
"Total fertility rate",1968,3.53
"Total fertility rate",1969,3.22
"Total fertility rate",1970,3.07
"Total fertility rate",1971,3.02
"Total fertility rate",1972,3.04
"Total fertility rate",1973,2.79
"Total fertility rate",1974,2.35
"Total fertility rate",1975,2.07
"Total fertility rate",1976,2.11
"Total fertility rate",1977,1.82
"Total fertility rate",1978,1.79
"Total fertility rate",1979,1.79
"Total fertility rate",1980,1.82
"Total fertility rate",1981,1.78
"Total fertility rate",1982,1.74
"Total fertility rate",1983,1.61
"Total fertility rate",1984,1.62
"Total fertility rate",1985,1.61
"Total fertility rate",1986,1.43
"Total fertility rate",1987,1.62
"Total fertility rate",1988,1.96
"Total fertility rate",1989,1.75
"Total fertility rate",1990,1.83
"Total fertility rate",1991,1.73
"Total fertility rate",1992,1.72
"Total fertility rate",1993,1.74
"Total fertility rate",1994,1.71
"Total fertility rate",1995,1.67
"Total fertility rate",1996,1.66
"Total fertility rate",1997,1.61
"Total fertility rate",1998,1.48
"Total fertility rate",1999,1.47
"Total fertility rate",2000,1.6
"Total fertility rate",2001,1.41
"Total fertility rate",2002,1.37
"Total fertility rate",2003,1.27
"Total fertility rate",2004,1.26
"Total fertility rate",2005,1.26
"Total fertility rate",2006,1.28
"Total fertility rate",2007,1.29
"Total fertility rate",2008,1.28
"Total fertility rate",2009,1.22
"Total fertility rate",2010,1.15
"Total fertility rate",2011,1.2
"Total fertility rate",2012,1.29
"Total fertility rate",2013,1.19
"Total fertility rate",2014,1.25
"Total fertility rate",2015,1.24
"Total fertility rate",2016,1.2
"Total fertility rate",2017,1.16
"Total fertility rate",2018,1.14
"Total fertility rate",2019,1.14
"Total fertility rate",2020,1.1
"Total fertility rate",2021,1.12
"Total fertility rate",2022,1.04
"Total fertility rate",2023,0.97
"Total fertility rate",2024,0.97
"Total fertility rate",2025,0.87
"Total live births",1960,61775
"Total live births",1961,59930
"Total live births",1962,58977
"Total live births",1963,59530
"Total live births",1964,58217
"Total live births",1965,55725
"Total live births",1966,54680
"Total live births",1967,50560
"Total live births",1968,47241
"Total live births",1969,44562
"Total live births",1970,45934
"Total live births",1971,47088
"Total live births",1972,49678
"Total live births",1973,48269
"Total live births",1974,43268
"Total live births",1975,39948
"Total live births",1976,42783
"Total live births",1977,38364
"Total live births",1978,39441
"Total live births",1979,40779
"Total live births",1980,41217
"Total live births",1981,42250
"Total live births",1982,42654
"Total live births",1983,40585
"Total live births",1984,41556
"Total live births",1985,42484
"Total live births",1986,38379
"Total live births",1987,43616
"Total live births",1988,52957
"Total live births",1989,47669
"Total live births",1990,51142
"Total live births",1991,49114
"Total live births",1992,49402
"Total live births",1993,50225
"Total live births",1994,49554
"Total live births",1995,48635
"Total live births",1996,48577
"Total live births",1997,47333
"Total live births",1998,43664
"Total live births",1999,43336
"Total live births",2000,46997
"Total live births",2001,41451
"Total live births",2002,40760
"Total live births",2003,37485
"Total live births",2004,37174
"Total live births",2005,37492
"Total live births",2006,38317
"Total live births",2007,39490
"Total live births",2008,39826
"Total live births",2009,39570
"Total live births",2010,37967
"Total live births",2011,39654
"Total live births",2012,42663
"Total live births",2013,39720
"Total live births",2014,42232
"Total live births",2015,42185
"Total live births",2016,41251
"Total live births",2017,39615
"Total live births",2018,39039
"Total live births",2019,39279
"Total live births",2020,38590
"Total live births",2021,38672
"Total live births",2022,35605
"Total live births",2023,33541
"Total live births",2024,33703
"Total live births",2025,30004
