"Measure","Year","Observed","first_difference","second_difference","log_observed","log_difference"
"Total fertility rate",1960,5.76,,,1.7509374747078,
"Total fertility rate",1961,5.41,-0.35,,1.68824909285839,-0.0626883818494097
"Total fertility rate",1962,5.21,-0.2,0.149999999999999,1.65057985576528,-0.0376692370931146
"Total fertility rate",1963,5.16,-0.0499999999999998,0.15,1.64093657949347,-0.00964327627180417
"Total fertility rate",1964,4.97,-0.19,-0.140000000000001,1.60341984010854,-0.0375167393849341
"Total fertility rate",1965,4.66,-0.31,-0.119999999999999,1.53901544813755,-0.0644043919709827
"Total fertility rate",1966,4.46,-0.2,0.109999999999999,1.49514876603197,-0.043866682105582
"Total fertility rate",1967,3.91,-0.55,-0.35,1.36353737399727,-0.131611392034698
"Total fertility rate",1968,3.53,-0.38,0.169999999999999,1.26129787094521,-0.102239503052069
"Total fertility rate",1969,3.22,-0.31,0.0700000000000007,1.16938135955632,-0.0919165113888885
"Total fertility rate",1970,3.07,-0.15,0.159999999999999,1.12167756159911,-0.0477037979572112
"Total fertility rate",1971,3.02,-0.0499999999999998,0.100000000000001,1.10525683138678,-0.0164207302123274
"Total fertility rate",1972,3.04,0.02,0.0699999999999998,1.11185751541813,0.00660068403135194
"Total fertility rate",1973,2.79,-0.25,-0.27,1.02604159583327,-0.085815919584856
"Total fertility rate",1974,2.35,-0.44,-0.19,0.854415328156068,-0.171626267677207
"Total fertility rate",1975,2.07,-0.28,0.16,0.727548607277278,-0.12686672087879
"Total fertility rate",1976,2.11,0.04,0.32,0.746687947487975,0.0191393402106974
"Total fertility rate",1977,1.82,-0.29,-0.33,0.598836501088704,-0.147851446399271
"Total fertility rate",1978,1.79,-0.03,0.26,0.582215619852664,-0.0166208812360403
"Total fertility rate",1979,1.79,0,0.03,0.582215619852664,0
"Total fertility rate",1980,1.82,0.03,0.03,0.598836501088704,0.0166208812360403
"Total fertility rate",1981,1.78,-0.04,-0.0700000000000001,0.576613364303994,-0.0222231367847102
"Total fertility rate",1982,1.74,-0.04,0,0.553885113226438,-0.0227282510775562
"Total fertility rate",1983,1.61,-0.13,-0.0899999999999999,0.476234178996372,-0.0776509342300659
"Total fertility rate",1984,1.62,0.01,0.14,0.482426149244293,0.00619197024792106
"Total fertility rate",1985,1.61,-0.01,-0.02,0.476234178996372,-0.00619197024792106
"Total fertility rate",1986,1.43,-0.18,-0.17,0.357674444271816,-0.118559734724556
"Total fertility rate",1987,1.62,0.19,0.37,0.482426149244293,0.124751704972477
"Total fertility rate",1988,1.96,0.34,0.15,0.672944473242426,0.190518323998133
"Total fertility rate",1989,1.75,-0.21,-0.55,0.559615787935423,-0.113328685307003
"Total fertility rate",1990,1.83,0.0800000000000001,0.29,0.60431596685333,0.0447001789179069
"Total fertility rate",1991,1.73,-0.1,-0.18,0.548121408509688,-0.056194558343642
"Total fertility rate",1992,1.72,-0.01,0.0900000000000001,0.542324290825362,-0.00579711768432589
"Total fertility rate",1993,1.74,0.02,0.03,0.553885113226438,0.0115608224010759
"Total fertility rate",1994,1.71,-0.03,-0.05,0.536493370514568,-0.0173917427118692
"Total fertility rate",1995,1.67,-0.04,-0.01,0.512823626428664,-0.0236697440859047
"Total fertility rate",1996,1.66,-0.01,0.03,0.506817602368452,-0.00600602406021189
"Total fertility rate",1997,1.61,-0.0499999999999998,-0.0399999999999998,0.476234178996372,-0.0305834233720801
"Total fertility rate",1998,1.48,-0.13,-0.0800000000000003,0.392042087776024,-0.084192091220348
"Total fertility rate",1999,1.47,-0.01,0.12,0.385262400790645,-0.00677968698537879
"Total fertility rate",2000,1.6,0.13,0.14,0.470003629245736,0.0847412284550907
"Total fertility rate",2001,1.41,-0.19,-0.32,0.343589704390077,-0.126413924855659
"Total fertility rate",2002,1.37,-0.0399999999999998,0.15,0.314810739840034,-0.0287789645500433
"Total fertility rate",2003,1.27,-0.1,-0.0600000000000003,0.2390169004705,-0.0757938393695337
"Total fertility rate",2004,1.26,-0.01,0.0900000000000001,0.231111720963387,-0.00790517950711328
"Total fertility rate",2005,1.26,0,0.01,0.231111720963387,0
"Total fertility rate",2006,1.28,0.02,0.02,0.246860077931526,0.0157483569681392
"Total fertility rate",2007,1.29,0.01,-0.01,0.254642218373581,0.00778214044205494
"Total fertility rate",2008,1.28,-0.01,-0.02,0.246860077931526,-0.00778214044205494
"Total fertility rate",2009,1.22,-0.0600000000000001,-0.05,0.198850858745165,-0.0480092191863606
"Total fertility rate",2010,1.15,-0.0700000000000001,-0.01,0.139761942375159,-0.0590889163700065
"Total fertility rate",2011,1.2,0.05,0.12,0.182321556793955,0.042559614418796
"Total fertility rate",2012,1.29,0.0900000000000001,0.04,0.254642218373581,0.0723206615796262
"Total fertility rate",2013,1.19,-0.1,-0.19,0.173953307123438,-0.0806889112501428
"Total fertility rate",2014,1.25,0.0600000000000001,0.16,0.22314355131421,0.0491902441907718
"Total fertility rate",2015,1.24,-0.01,-0.0700000000000001,0.215111379616945,-0.00803217169726428
"Total fertility rate",2016,1.2,-0.04,-0.03,0.182321556793955,-0.0327898228229909
"Total fertility rate",2017,1.16,-0.04,0,0.148420005118273,-0.0339015516756814
"Total fertility rate",2018,1.14,-0.02,0.02,0.131028262406404,-0.0173917427118692
"Total fertility rate",2019,1.14,0,0.02,0.131028262406404,0
"Total fertility rate",2020,1.1,-0.0399999999999998,-0.0399999999999998,0.0953101798043249,-0.0357180826020791
"Total fertility rate",2021,1.12,0.02,0.0599999999999998,0.113328685307003,0.0180185055026783
"Total fertility rate",2022,1.04,-0.0800000000000001,-0.1,0.0392207131532813,-0.0741079721537219
"Total fertility rate",2023,0.97,-0.0700000000000001,0.01,-0.0304592074847086,-0.0696799206379899
"Total fertility rate",2024,0.97,0,0.0700000000000001,-0.0304592074847086,0
"Total fertility rate",2025,0.87,-0.1,-0.1,-0.139262067333508,-0.108802859848799
"Total live births",1960,61775,,,11.0312540308568,
"Total live births",1961,59930,-1845,,11.0009324934522,-0.0303215374045802
"Total live births",1962,58977,-953,892,10.9849028163757,-0.0160296770765154
