".model","Measure",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","model_class","specification","purpose","AIC","AICc","BIC","ljung_box_statistic","ljung_box_p_value","rmse_rank","mae_rank","residual_pass_ljung_box_0_05","review_flag"
"auto_arima","Total fertility rate","Test",-0.15306796151506,0.178423934651652,0.15306796151506,-15.2900808438367,15.2900808438367,,,0.57025795716601,"ARIMA","ARIMA(Observed)","Course-based stochastic time series candidate.",-55.0316926012542,-54.7963984836071,-51.0537245081256,11.1487084833094,0.346050275082031,1,1,TRUE,"accuracy_and_residuals"
"ets","Total fertility rate","Test",-0.163577125804384,0.190390991500992,0.163577125804384,-16.3340118707936,16.3340118707936,,,0.580917676842772,"state-space","ETS(Observed)","Exponential smoothing state-space candidate.",4.27853183257551,5.99281754686122,16.4306419769864,6.88352848462699,0.736392934512083,2,2,TRUE,"secondary_candidate"
"naive","Total fertility rate","Test",-0.169,0.196137706726677,0.169,-16.8644911103889,16.8644911103889,,,0.584509032192956,"benchmark","NAIVE(Observed)","Last-observation baseline for forecast comparison.",,,,44.5182807969109,2.65593795467645e-06,3,3,FALSE,"lower_priority"
"drift","Total fertility rate","Test",0.283,0.317950539321048,0.283,27.8023254526181,27.8023254526181,,,0.718291284155489,"benchmark","RW(Observed ~ drift())","Random-walk benchmark with average historical drift.",,,,44.5182807969108,2.65593795467645e-06,4,4,FALSE,"lower_priority"
"linear_trend","Total fertility rate","Test",0.979432330827068,0.984112427740132,0.979432330827068,92.9922075591824,92.9922075591824,,,0.705947819649842,"trend","TSLM(Observed ~ trend())","Simple deterministic trend benchmark.",-35.0939290457665,-34.6323905842281,-29.0178739735611,177.473074381019,0,5,5,FALSE,"lower_priority"
"linear_trend","Total live births","Test",-265.685150375929,2718.98712451603,2321.3151367054,-1.45323961489615,6.63674524295961,,,0.523551905621328,"trend","TSLM(Observed ~ trend())","Simple deterministic trend benchmark.",959.089917960146,959.551456421685,965.165973032352,109.597251372401,0,1,1,FALSE,"accuracy_only"
"drift","Total live births","Test",-3296.1,4097.40320091995,3296.1,-9.65776474390099,9.65776474390099,,,0.4955062331063,"benchmark","RW(Observed ~ drift())","Random-walk benchmark with average historical drift.",,,,7.58540592597593,0.669261567780964,2,2,TRUE,"secondary_candidate"
"ets","Total live births","Test",-5233.22377294494,6221.94803479715,5233.22377294494,-15.2027656571554,15.2027656571554,,,0.569297683040577,"state-space","ETS(Observed)","Exponential smoothing state-space candidate.",1116.56844709161,1117.02998555315,1122.64450216381,6.54602732812859,0.767494424631879,3,3,TRUE,"lower_priority"
"auto_arima","Total live births","Test",-5255.1,6240.35914831831,5255.1,-15.2625383123423,15.2625383123423,,,0.569297683040577,"ARIMA","ARIMA(Observed)","Course-based stochastic time series candidate.",1029.069406215,1029.14487791311,1031.07673940023,7.64524351952018,0.663444348618786,4,4,TRUE,"lower_priority"
"naive","Total live births","Test",-5255.1,6240.35914831831,5255.1,-15.2625383123423,15.2625383123423,,,0.569297683040577,"benchmark","NAIVE(Observed)","Last-observation baseline for forecast comparison.",,,,7.58540592597593,0.669261567780964,4,4,TRUE,"lower_priority"
