"Measure","Year","Observed","log_observed","scaled_observed","scaled_log_observed","period"
"Total fertility rate",1960,5.76,1.7509374747078,3.01077652907115,2.42298372478049,"early"
"Total fertility rate",1961,5.41,1.68824909285839,2.72712328945476,2.29285930484649,"early"
"Total fertility rate",1962,5.21,1.65057985576528,2.56503572395968,2.21466798005089,"early"
"Total fertility rate",1963,5.16,1.64093657949347,2.52451383258591,2.19465110141864,"early"
"Total fertility rate",1964,4.97,1.60341984010854,2.37053064536558,2.11677632133567,"early"
"Total fertility rate",1965,4.66,1.53901544813755,2.1192949188482,1.98308992045587,"early"
"Total fertility rate",1966,4.46,1.49514876603197,1.95720735335312,1.89203434691865,"early"
"Total fertility rate",1967,3.91,1.36353737399727,1.51146654824164,1.6188440756119,"early"
"Total fertility rate",1968,3.53,1.26129787094521,1.20350017380099,1.40662203962204,"early"
"Total fertility rate",1969,3.22,1.16938135955632,0.952264447283609,1.21582779076796,"early"
"Total fertility rate",1970,3.07,1.12167756159911,0.830698773162297,1.1168073845188,"early"
"Total fertility rate",1971,3.02,1.10525683138678,0.790176881788527,1.08272231276013,"early"
"Total fertility rate",1972,3.04,1.11185751541813,0.806385638338035,1.09642357853551,"early"
"Total fertility rate",1973,2.79,1.02604159583327,0.603776181469182,0.918292536903152,"early"
"Total fertility rate",1974,2.35,0.854415328156068,0.247183537380001,0.562042018576131,"early"
"Total fertility rate",1975,2.07,0.727548607277278,0.0202609456868852,0.298700423590664,"early"
"Total fertility rate",1976,2.11,0.746687947487975,0.0526784587859017,0.338428607176886,"early"
"Total fertility rate",1977,1.82,0.598836501088704,-0.182348511181968,0.0315282991529101,"early"
"Total fertility rate",1978,1.79,0.582215619852664,-0.20666164600623,-0.00297223293654702,"early"
"Total fertility rate",1979,1.79,0.582215619852664,-0.20666164600623,-0.00297223293654702,"early"
"Total fertility rate",1980,1.82,0.598836501088704,-0.182348511181968,0.0315282991529101,"early"
"Total fertility rate",1981,1.78,0.576613364303994,-0.214766024280984,-0.0146010265357167,"early"
"Total fertility rate",1982,1.74,0.553885113226438,-0.247183537380001,-0.0617788352513075,"middle"
"Total fertility rate",1983,1.61,0.476234178996372,-0.352540454951804,-0.22296153730754,"middle"
"Total fertility rate",1984,1.62,0.482426149244293,-0.34443607667705,-0.210108652722086,"middle"
"Total fertility rate",1985,1.61,0.476234178996372,-0.352540454951804,-0.22296153730754,"middle"
"Total fertility rate",1986,1.43,0.357674444271816,-0.498419263897378,-0.469060036797,"middle"
"Total fertility rate",1987,1.62,0.482426149244293,-0.34443607667705,-0.210108652722086,"middle"
"Total fertility rate",1988,1.96,0.672944473242426,-0.06888721533541,0.185356753557003,"middle"
"Total fertility rate",1989,1.75,0.559615787935423,-0.239079159105246,-0.0498834776054767,"middle"
"Total fertility rate",1990,1.83,0.60431596685333,-0.174244132907213,0.0429022137944289,"middle"
"Total fertility rate",1991,1.73,0.548121408509688,-0.255287915654755,-0.0737427544148237,"middle"
